bul,eng,fin,por,spa,swe
52958,7022,972550,753012,763656,1987547	6
15882,455728,393520,2666718,787977,4338352	6
15913,894277,893438,3317847,821673,1433501	6
15913,497536,893438,3317847,821673,1433501	6
15913,894275,893438,3317847,821673,1433501	6
15913,894276,893438,3317847,821673,1433501	6
15913,894279,893438,3317847,821673,1433501	6
16450,342942,393592,3305505,762998,4060607	6
16475,512364,393588,1181205,821708,1959782	6
16475,2356310,393588,1181205,821708,1959782	6
1396428,890962,1488025,1575555,2374632,1404017	6
16765,512373,393634,2603573,776781,891020	6
16969,1101780,1992374,2318746,830771,4388032	6
17190,865225,1206582,3319122,787990,1990284	6
17212,512393,393647,3305561,783085,2237785	6
17421,432129,2665612,1291304,829962,1991618	6
17423,495349,992386,2669718,771364,651192	6
17660,580347,393672,3305592,822729,2161570	6
17660,687747,393672,3305592,822729,2161570	6
20379,1387876,1198178,812667,2346122,1960980	6
20664,1226324,414976,3230924,832194,1960583	6
21267,5749745,517532,3365881,779656,1990270	6
21267,5749746,517532,3365881,779656,1990270	6
21267,546929,517532,3365881,779656,1990270	6
24342,862553,340998,1346006,765501,1987510	6
394438,862553,340998,1346006,765501,1987510	6
442006,862553,340998,1346006,765501,1987510	6
664250,665784,2134018,2682784,3785430,1963767	6
664250,667195,2134018,2682784,3785430,1963767	6
29006,1127452,5257289,816247,819579,3036071	6
353189,986155,1271998,1635570,455752,1635569	6
353189,457028,1271998,1635570,455752,1635569	6
353189,1631077,1271998,1635570,455752,1635569	6
31381,775319,1292494,1012591,821780,893157	6
321699,775319,1292494,1012591,821780,893157	6
31384,775319,1292494,1012591,821780,893157	6
486448,775319,1292494,1012591,821780,893157	6
321700,775319,1292494,1012591,821780,893157	6
321699,1105256,1292494,1012591,821780,893157	6
31384,1105256,1292494,1012591,821780,893157	6
486448,1105256,1292494,1012591,821780,893157	6
321700,1105256,1292494,1012591,821780,893157	6
31381,825039,1292494,1012591,821780,893157	6
321699,825039,1292494,1012591,821780,893157	6
31384,825039,1292494,1012591,821780,893157	6
486448,825039,1292494,1012591,821780,893157	6
321700,825039,1292494,1012591,821780,893157	6
321699,959649,1292494,1012591,821780,893157	6
31385,738648,1292494,1012591,821780,893157	6
31385,771956,1292494,1012591,821780,893157	6
486444,1944116,1292494,1012591,821780,893157	6
486444,482580,1292494,1012591,821780,893157	6
486444,4612858,1292494,1012591,821780,893157	6
486444,2141973,1292494,1012591,821780,893157	6
486444,2489919,1292494,1012591,821780,893157	6
486444,6601724,1292494,1012591,821780,893157	6
486444,1349820,1292494,1012591,821780,893157	6
1587267,738648,1292494,1012591,821780,893157	6
1587267,771956,1292494,1012591,821780,893157	6
255770,1944116,1292494,1012591,821780,893157	6
255770,482580,1292494,1012591,821780,893157	6
255770,4612858,1292494,1012591,821780,893157	6
255770,2141973,1292494,1012591,821780,893157	6
255770,2489919,1292494,1012591,821780,893157	6
255770,6601724,1292494,1012591,821780,893157	6
255770,1349820,1292494,1012591,821780,893157	6
31384,482580,1292494,1012591,821780,893157	6
486448,4612858,1292494,1012591,821780,893157	6
433593,1372244,390855,1181720,829869,2201042	6
433593,1372245,390855,1181720,829869,2201042	6
31907,1333668,1319997,2599819,771145,1990442	6
31954,715977,715976,3409814,787915,1991638	6
31954,1757177,715976,3409814,787915,1991638	6
31973,1279194,2624695,6973818,760604,2900362	6
32865,862788,1459154,6950820,1456333,1456342	6
33537,790029,1658826,1428340,821752,6876223	6
34684,731175,576899,6636533,782572,1992746	6
35029,330028,374994,5517885,2847696,1996310	6
37392,797225,6780708,1176007,829957,2009015	6
37981,1106081,720876,1023503,3013995,1023504	6
38153,687617,729656,2666738,787911,781095	6
38153,535150,729656,2666738,787911,781095	6
265500,339012,1321054,3404512,779630,1996347	6
39164,506734,576799,4941194,779778,4384172	6
435782,720060,996207,2723547,822748,1435213	6
1887248,2465068,397649,3394835,2370773,491082	6
43876,693761,1085041,2675947,830572,901891	6
48251,699746,948708,355133,787973,2210043	6
48251,865959,948708,355133,787973,2210043	6
53130,558570,1236417,2757808,782719,491517	6
529830,3983710,1392849,824405,763642,2122257	6
67222,580828,4962675,1575666,3927057,491520	6
69766,5041572,770811,3091347,2859864,1125624	6
69766,5041575,770811,3091347,2859864,1125624	6
70623,1213833,397638,1575586,429597,2015035	6
408293,1213833,397638,1575586,429597,2015035	6
73155,1289082,990359,2622853,3548183,1796076	6
361350,3206623,404952,2951209,787997,2113058	6
138919,5200372,390881,1023491,3938020,1023494	6
138919,4587056,390881,1023491,3938020,1023494	6
138919,4587057,390881,1023491,3938020,1023494	6
4771541,375833,390881,1023491,3938020,1023494	6
241200,722755,1199919,3369485,4552221,1990450	6
242881,1285038,390769,2662215,829139,3781310	6
249797,679554,1190049,785968,2845241,3926860	6
249797,800825,1190049,785968,2845241,3926860	6
250687,692719,720921,2764321,762502,892641	6
433675,845632,2716520,2277974,788000,1991628	6
255092,1309906,1255908,3741567,777387,1996393	6
255092,344194,1255908,3741567,777387,1996393	6
259069,354937,1236383,3796287,5728727,1108739	6
257501,574561,390777,3072981,456899,372630	6
321985,731630,411469,1496846,829134,1990264	6
321985,5769217,411469,1496846,829134,1990264	6
1124471,731630,411469,1496846,829134,1990264	6
456591,456592,4142493,3796372,456776,2014518	6
268846,1209683,1417099,1612447,2819611,891252	6
278174,808507,576687,3373470,779621,1990459	6
278174,514321,576687,3373470,779621,1990459	6
278606,1332403,579004,2120595,2314477,1996346	6
284116,586603,886197,1044205,4534880,1959790	6
289100,506730,991428,6450464,3032361,4396569	6
388834,1435655,1011229,3089441,763653,1435113	6
467817,718671,1433826,1433849,776750,1433852	6
291912,581778,1433826,1433849,776750,1433852	6
292479,1332388,1236224,1153228,771669,2269414	6
292882,2057229,3842497,3208660,4713908,3208778	6
435647,1334880,1405706,1011511,776740,999096	6
294185,727656,1488110,1180744,776764,1138521	6
294185,339314,1488110,1180744,776764,1138521	6
295303,1281269,1205241,6924777,829950,2113585	6
297627,374078,2154012,2210055,762180,2211123	6
417024,631056,423999,1009799,771335,1996367	6
1682872,1683648,1682878,357659,4552492,1959076	6
391906,663154,576729,3118758,779809,1409995	6
391906,917780,576729,3118758,779809,1409995	6
391906,917782,576729,3118758,779809,1409995	6
305951,722465,1394285,6593829,787957,1996296	6
305951,399589,1394285,6593829,787957,1996296	6
310059,1237135,1236200,1733105,4644085,1969055	6
317830,746053,974064,1011548,767911,991450	6
321673,535045,1236338,2764975,829196,1995379	6
254072,1618134,411538,1030652,787942,2514413	6
254072,5086517,411538,1030652,787942,2514413	6
329713,855394,397611,778578,3694724,849444	6
855284,403913,397611,778578,3694724,849444	6
590217,431975,397074,7798192,3802858,509792	6
16491,524691,1054667,1012592,829896,923352	6
392152,454969,985237,4932230,821578,2030900	6
394633,505667,1033690,4638524,787895,1990606	6
394633,699452,1033690,4638524,787895,1990606	6
410779,619107,990361,3373173,822746,1990457	6
433474,445877,519393,3192747,782671,5891822	6
433592,1283002,1488955,2756263,829102,1995395	6
433592,740922,1488955,2756263,829102,1995395	6
433592,740923,1488955,2756263,829102,1995395	6
433863,520784,520462,3369457,779672,891943	6
434584,1131051,1130063,3242006,2797909,891556	6
435786,2409226,2900962,2681403,782648,1138487	6
455947,436326,1066251,1181198,3624402,1965139	6
21124,436326,1066251,1181198,3624402,1965139	6
843310,731162,844917,2748134,2781873,2991722	6
456449,1237165,1289403,2616178,456843,2048353	6
462928,462929,6585002,1180828,2797916,892645	6
462928,710229,6585002,1180828,2797916,892645	6
594724,596016,5599505,1188340,5599592,3829817	6
594724,596017,5599505,1188340,5599592,3829817	6
594724,2455671,5599505,1188340,5599592,3829817	6
672254,870264,1198101,2638452,4713974,1990261	6
622248,760012,2805700,1011534,4806106,999061	6
628448,867057,991440,3016172,630679,1666375	6
628448,867056,991440,3016172,630679,1666375	6
1802121,1476288,4936946,7763054,3877911,5886426	6
430988,631773,760624,1314241,833996,1965175	6
887408,1039737,889505,1857192,3702581,1965079	6
887408,1855291,889505,1857192,3702581,1965079	6
1194034,1198554,2634577,3968917,2634713,2634727	6
1867771,2260464,5921511,2763935,2370938,2022933	6
1886352,2004173,2004502,7755997,2348226,1998361	6
1954263,1998766,2309730,3363667,2374177,1996585	6
1963287,2886232,1963289,1963763,2348120,1963757	6
1972649,2352589,4360768,3365425,2348115,1988744	6
1972649,4557210,4360768,3365425,2348115,1988744	6
1972649,5040892,4360768,3365425,2348115,1988744	6
2451647,2454437,2453715,3793898,2605619,3793906	6
2481307,2492087,5946662,2509927,2788900,2509924	6
3373158,6989487,2747266,3796554,3802859,3799853	6
2747265,6989487,2747266,3796554,3802859,3799853	6
2747265,3778408,2747266,3796554,3802859,3799853	6
1309,1023564,404845,2768261,2817758,7684614	6
1337,2543,347626,2768266,762387,7686976	6
1361,2567,404874,2768263,2817786,7688619	6
1069888,2685,340438,368188,762990,409675	6
1879788,2889,340376,2662249,433855,1192004	6
18073,508144,786770,5108193,829064,2210097	6
1396183,981507,4305508,5645024,2378460,1405793	6
1396183,831287,4305508,5645024,2378460,1405793	6
1600344,1600545,1331753,3586035,1601274,4194202	6
54871,742193,881479,2662218,523369,372423	6
63300,709361,576954,1181287,782665,546958	6
1396355,1418696,1456219,2832304,2378337,1404066	6
240572,1863855,1227640,6633634,821730,912750	6
243192,966393,983390,1616333,2823187,2460646	6
515572,330113,814703,3776922,777385,2009014	6
433669,977643,768285,3768819,776853,4328263	6
302036,1809192,4275154,1011584,3218066,964386	6
321497,1077543,2569245,3634972,783069,1307054	6
321497,460405,2569245,3634972,783069,1307054	6
333156,528431,404951,3796311,3802854,3807229	6
333156,2507852,404951,3796311,3802854,3807229	6
452278,1391600,380343,2674065,3044074,1435206	6
410780,1859793,973528,4298795,771172,4331800	6
410780,568223,973528,4298795,771172,4331800	6
482141,534385,3306203,4534591,923412,3644561	6
712863,963920,2087338,2680819,2845529,1130741	6
1027266,1413494,6465314,3829314,2313567,3829316	6
1860402,3250884,1446640,3250344,2374245,2083808	6
1886707,1513885,5469087,2757637,2378115,2078981	6
1887359,2178749,2179292,3409800,4645907,2085850	6
1887528,3677278,5139073,3084852,2317850,2051142	6
1887893,2559066,2561895,2680817,2338031,2027005	6
1890996,2220760,2309800,2668209,2370745,2046224	6
1893726,5087590,5095910,5261910,2348171,2088428	6
1396177,1406461,4825856,1631714,2378462,1405795	6
2451547,3089401,2520607,3790292,2605761,3790826	6
2451651,6826455,2453709,3793907,2612765,3793912	6
2451651,2454429,2453709,3793907,2612765,3793912	6
3812934,3834215,3812563,3840207,3840141,3834227	6
1317,2523,907601,2710512,762382,7684655	6
1356,2562,405081,2768265,2289110,7687775	6
2370,449794,404800,914993,4620767,5370230	6
2423,449845,341266,3317811,771674,2280657	6
24674,464531,1220258,3580635,771117,3720663	6
36366,574589,958342,1193411,3031853,1141859	6
37185,345183,977980,3396318,763019,4401173	6
41207,1179315,1247859,5722029,829096,4163708	6
55087,604343,1481373,2209815,779750,2209824	6
237738,1687783,974384,1160753,821483,1784948	6
237738,436484,974384,1160753,821483,1784948	6
311821,865963,377798,3089424,834500,1433540	6
321354,875189,939659,2115400,771219,2122192	6
379143,700233,405181,774789,776792,774788	6
2549441,576768,576760,3379266,779747,2085320	6
423453,800874,423949,1184896,2787889,1127124	6
542040,1748074,923859,2522351,771658,2522350	6
706874,570958,1582418,3369366,2036736,2037222	6
760526,963042,972306,2683103,760812,760527	6
1396379,1406444,1396384,2766232,2378317,1404049	6
2117890,2789939,2134011,2118646,4552234,2118643	6
2451614,5755858,2453756,3793838,2612773,3793840	6
2451616,5755860,2503137,3790314,2612770,3790823	6
2451629,2483130,2453730,3784588,2612768,3784597	6
2451631,2481103,2453729,3790324,2624262,3790818	6
2451650,2454430,2453710,3793905,2612766,3793915	6
2604279,2604328,2604333,2610939,2792916,2612567	6
5769626,2635208,2635207,5769849,2787303,7585990	6
2648484,4732634,4767091,6584529,3328049,3713834	6
265199,856129,2342759,2600948,829903,2147550	6
314148,2205597,2154007,1617331,764326,1074261	6
314148,1101463,2154007,1617331,764326,1074261	6
314148,5045958,2154007,1617331,764326,1074261	6
314148,1285770,2154007,1617331,764326,1074261	6
436563,436564,964850,1575549,3697865,1459156	6
4642909,1216467,1211873,1399604,4642884,1399601	6
2044495,2679005,3028894,3028904,3028901,3028906	6
2661742,2661764,5596518,2661775,2661747,2661769	6
3663249,3677182,3663253,3663265,3663859,3663256	6
44492,1055619,5073591,6581880,4455425,4371829	6
255080,523729,411484,1527220,829902,2135491	6
803702,811679,957770,1180801,814319,912732	6
803702,1256834,957770,1180801,814319,912732	6
1311884,1307223,4456434,1307213,1307217,1307216	6
2346862,2346863,2346864,2346900,2346898,2346886	6
304723,1012266,1005327,1011485,821655,1005344	6
3007072,3007075,3013951,3007678,3007081,3007675	6
1277,1351142,893320,335579,760628,841635	5
1277,1507074,893320,335579,760628,841635	5
1277,2601,893320,335579,760628,841635	5
1277,1332464,893320,335579,760628,841635	5
1277,3252729,893320,335579,760628,841635	5
1280,1130137,395134,7105974,762364,7680975	5
1284,1646046,331974,1030736,762367,1404088	5
1284,640422,331974,1030736,762367,1404088	5
1284,1435619,331974,1030736,762367,1404088	5
1284,493657,331974,1030736,762367,1404088	5
1284,4613949,331974,1030736,762367,1404088	5
1284,1151748,331974,1030736,762367,1404088	5
52115,2489,331974,1030736,762367,1404088	5
253976,2489,331974,1030736,762367,1404088	5
1287,5231127,395137,3312554,2817720,1960596	5
1287,1678105,395137,3312554,2817720,1960596	5
1287,2753025,395137,3312554,2817720,1960596	5
1287,2492,395137,3312554,2817720,1960596	5
1296,532537,414995,2740011,762370,1960605	5
1302,4629529,397604,2677716,762372,7681209	5
1302,1023561,397604,2677716,762372,7681209	5
1315,1023568,405254,354802,762380,1959931	5
1315,2521,405254,354802,762380,1959931	5
1326,895223,397607,2740038,762385,5921527	5
1326,895229,397607,2740038,762385,5921527	5
1326,895222,397607,2740038,762385,5921527	5
1329,5670262,351198,2762650,761811,1996639	5
1329,4840794,351198,2762650,761811,1996639	5
1329,4242106,351198,2762650,761811,1996639	5
1329,2535,351198,2762650,761811,1996639	5
1329,1173024,351198,2762650,761811,1996639	5
1339,599583,397652,2740048,2817741,1995381	5
1339,2545,397652,2740048,2817741,1995381	5
1354,4317680,1001725,2586112,2817725,7687395	5
1368,2574,893392,3877600,762390,1996317	5
1373,2906889,340366,1008358,2817770,7689024	5
1373,2579,340366,1008358,2817770,7689024	5
1379,2585,397659,3230972,762395,2311369	5
1385,2591,397635,2768278,762396,4409034	5
774871,4522190,1701197,3373927,433087,3833834	5
774871,4522192,1701197,3373927,433087,3833834	5
774871,4522195,1701197,3373927,433087,3833834	5
774871,356709,1701197,3373927,433087,3833834	5
774871,776952,1701197,3373927,433087,3833834	5
774871,1210069,1701197,3373927,433087,3833834	5
1434,2947451,1701197,3373927,433087,3833834	5
1434,776952,1701197,3373927,433087,3833834	5
1435,2640,397699,1264828,762411,2135512	5
1438,2643,404990,1201818,2817795,1962882	5
1438,779894,404990,1201818,2817795,1962882	5
1488,2691,405289,3090031,1458120,1960734	5
1521,6168510,397625,354750,765551,1990479	5
1521,4952602,397625,354750,765551,1990479	5
1521,947228,397625,354750,765551,1990479	5
1396362,2723,1456201,3090001,2374723,1960687	5
1396362,2160421,1456201,3090001,2374723,1960687	5
322178,2755,395112,3381464,432816,5294532	5
1564,2755,395112,3381464,432816,5294532	5
1594,2781,893385,4401342,2743591,3208774	5
758904,2822,397602,1009761,779830,3799868	5
1665,2840,893345,3794597,2324674,1960775	5
1665,1280109,893345,3794597,2324674,1960775	5
694423,2858,340416,3317457,4497596,1404079	5
1705,455960,347631,1609420,433838,4347052	5
1705,2445058,347631,1609420,433838,4347052	5
1705,4587007,347631,1609420,433838,4347052	5
1705,4587006,347631,1609420,433838,4347052	5
1718,2975758,5594042,2683344,771255,1960784	5
1718,2884,5594042,2683344,771255,1960784	5
1718,1160514,5594042,2683344,771255,1960784	5
1718,1237164,5594042,2683344,771255,1960784	5
1718,1361025,5594042,2683344,771255,1960784	5
1786,4526792,340636,3090101,832224,1960789	5
1825,2934,405097,3317496,4800173,1960525	5
1862,456238,1161572,388184,430545,372621	5
456237,456238,1161572,388184,430545,372621	5
5977939,337088,1161572,388184,430545,372621	5
2302,1276049,893354,1614118,3109736,4171747	5
16492,1148398,2593149,752729,3931345,376074	5
16492,854107,2593149,752729,3931345,376074	5
392210,2484,341216,1634219,437141,409683	5
413821,449942,341216,1634219,437141,409683	5
328580,1625228,397677,3797072,764392,3553144	5
328580,1625236,397677,3797072,764392,3553144	5
328580,4825932,397677,3797072,764392,3553144	5
370703,1111668,397644,3796316,761134,1387547	5
370703,5027460,397644,3796316,761134,1387547	5
370703,931207,397644,3796316,761134,1387547	5
370703,2522313,397644,3796316,761134,1387547	5
370703,3071,397644,3796316,761134,1387547	5
25534,2210126,405022,3331849,765505,1995384	5
25534,927375,405022,3331849,765505,1995384	5
25534,1042891,405022,3331849,765505,1995384	5
436243,1469844,404974,1160750,3931439,742910	5
436243,480284,404974,1160750,3931439,742910	5
436243,354998,404974,1160750,3931439,742910	5
436243,1618138,404974,1160750,3931439,742910	5
416367,2999,7135793,3381434,3931397,4442748	5
6133,1167847,406646,3317828,771320,2236545	5
6133,1579526,406646,3317828,771320,2236545	5
15882,454167,393520,2666718,787977,4338352	5
15882,2707086,393520,2666718,787977,4338352	5
15882,523502,393520,2666718,787977,4338352	5
15882,894292,393520,2666718,787977,4338352	5
